Num. clusters,Dissimilarity,Cluster,Instance
2,0,5866245824299866,1,52
2,0,5866245824299866,1,58
2,0,5866245824299866,1,62
2,0,5866245824299866,1,66
2,0,5866245824299866,1,67
2,0,5866245824299866,1,68
2,0,5866245824299866,1,69
2,0,5866245824299866,1,70
2,0,5866245824299866,1,71
2,0,5866245824299866,1,72
2,0,5866245824299866,1,73
2,0,5866245824299866,1,74
2,0,5866245824299866,1,75
2,0,5866245824299866,1,76
2,0,5866245824299866,1,77
2,0,5866245824299866,1,78
2,0,5866245824299866,1,79
2,0,5866245824299866,1,80
3,0,31503189785612956,0,0
3,0,31503189785612956,0,1
3,0,31503189785612956,0,2
3,0,31503189785612956,0,3
3,0,31503189785612956,0,4
3,0,31503189785612956,0,5
3,0,31503189785612956,0,6
3,0,31503189785612956,0,7
3,0,31503189785612956,0,8
3,0,31503189785612956,0,15
3,0,31503189785612956,0,16
3,0,31503189785612956,0,17
3,0,31503189785612956,0,18
3,0,31503189785612956,0,19
3,0,31503189785612956,0,26
3,0,31503189785612956,0,27
3,0,31503189785612956,0,28
3,0,31503189785612956,0,31
3,0,31503189785612956,0,32
3,0,31503189785612956,0,33
3,0,31503189785612956,0,37
3,0,31503189785612956,0,39
3,0,31503189785612956,0,41
3,0,31503189785612956,0,44
3,0,31503189785612956,0,45
3,0,31503189785612956,0,46
3,0,31503189785612956,0,53
3,0,31503189785612956,0,54
3,0,31503189785612956,0,55
3,0,31503189785612956,0,56
3,0,31503189785612956,0,57
3,0,31503189785612956,0,59
3,0,31503189785612956,0,60
3,0,31503189785612956,0,61
3,0,31503189785612956,0,63
3,0,31503189785612956,0,64
3,0,31503189785612956,0,65
3,0,31503189785612956,1,9
3,0,31503189785612956,1,10
3,0,31503189785612956,1,11
3,0,31503189785612956,1,12
3,0,31503189785612956,1,13
3,0,31503189785612956,1,14
3,0,31503189785612956,1,20
3,0,31503189785612956,1,21
3,0,31503189785612956,1,22
3,0,31503189785612956,1,23
3,0,31503189785612956,1,24
3,0,31503189785612956,1,25
3,0,31503189785612956,1,29
3,0,31503189785612956,1,30
3,0,31503189785612956,1,34
3,0,31503189785612956,1,35
3,0,31503189785612956,1,36
3,0,31503189785612956,2,38
3,0,31503189785612956,2,40
3,0,31503189785612956,2,42
3,0,31503189785612956,2,43
3,0,31503189785612956,2,47
3,0,31503189785612956,2,48
3,0,31503189785612956,2,49
3,0,31503189785612956,2,50
3,0,31503189785612956,2,51
3,0,31503189785612956,2,52
3,0,31503189785612956,2,58
3,0,31503189785612956,2,62
3,0,31503189785612956,2,66
3,0,31503189785612956,2,67
3,0,31503189785612956,2,68
3,0,31503189785612956,2,69
3,0,31503189785612956,2,70
3,0,31503189785612956,2,71
3,0,31503189785612956,2,72
3,0,31503189785612956,2,73
3,0,31503189785612956,2,74
3,0,31503189785612956,2,75
3,0,31503189785612956,2,76
3,0,31503189785612956,2,77
3,0,31503189785612956,2,78
3,0,31503189785612956,2,79
3,0,31503189785612956,2,80
4,0,20507625117897987,0,0
4,0,20507625117897987,0,1
4,0,20507625117897987,0,2
4,0,20507625117897987,0,3
4,0,20507625117897987,0,4
4,0,20507625117897987,0,5
4,0,20507625117897987,0,6
4,0,20507625117897987,0,7
4,0,20507625117897987,0,8
4,0,20507625117897987,0,15
4,0,20507625117897987,0,16
4,0,20507625117897987,0,17
4,0,20507625117897987,0,18
4,0,20507625117897987,0,19
4,0,20507625117897987,0,26
4,0,20507625117897987,0,27
4,0,20507625117897987,0,28
4,0,20507625117897987,0,31
4,0,20507625117897987,0,32
4,0,20507625117897987,0,33
4,0,20507625117897987,0,37
4,0,20507625117897987,0,39
4,0,20507625117897987,0,41
4,0,20507625117897987,0,44
4,0,20507625117897987,0,45
4,0,20507625117897987,0,46
4,0,20507625117897987,0,53
4,0,20507625117897987,0,54
4,0,20507625117897987,0,55
4,0,20507625117897987,0,56
4,0,20507625117897987,0,57
4,0,20507625117897987,0,59
4,0,20507625117897987,0,60
4,0,20507625117897987,0,61
4,0,20507625117897987,0,63
4,0,20507625117897987,0,64
4,0,20507625117897987,0,65
4,0,20507625117897987,1,66
4,0,20507625117897987,1,67
4,0,20507625117897987,1,68
4,0,20507625117897987,1,69
4,0,20507625117897987,1,70
4,0,20507625117897987,1,71
4,0,20507625117897987,1,72
4,0,20507625117897987,1,73
4,0,20507625117897987,1,74
4,0,20507625117897987,1,75
4,0,20507625117897987,1,76
4,0,20507625117897987,1,77
4,0,20507625117897987,1,78
4,0,20507625117897987,1,79
4,0,20507625117897987,1,80
4,0,20507625117897987,2,9
4,0,20507625117897987,2,10
4,0,20507625117897987,2,11
4,0,20507625117897987,2,12
4,0,20507625117897987,2,13
4,0,20507625117897987,2,14
4,0,20507625117897987,2,20
4,0,20507625117897987,2,21
4,0,20507625117897987,2,22
4,0,20507625117897987,2,23
4,0,20507625117897987,2,24
4,0,20507625117897987,2,25
4,0,20507625117897987,2,29
4,0,20507625117897987,2,30
4,0,20507625117897987,2,34
4,0,20507625117897987,2,35
4,0,20507625117897987,2,36
4,0,20507625117897987,3,38
4,0,20507625117897987,3,40
4,0,20507625117897987,3,42
4,0,20507625117897987,3,43
4,0,20507625117897987,3,47
4,0,20507625117897987,3,48
4,0,20507625117897987,3,49
4,0,20507625117897987,3,50
4,0,20507625117897987,3,51
4,0,20507625117897987,3,52
4,0,20507625117897987,3,58
4,0,20507625117897987,3,62
5,0,1508255382378896,0,0
5,0,1508255382378896,0,1
5,0,1508255382378896,0,2
5,0,1508255382378896,0,3
5,0,1508255382378896,0,4
5,0,1508255382378896,0,5
5,0,1508255382378896,0,6
5,0,1508255382378896,0,7
5,0,1508255382378896,0,8
5,0,1508255382378896,0,15
5,0,1508255382378896,0,16
5,0,1508255382378896,0,17
5,0,1508255382378896,0,18
5,0,1508255382378896,0,19
5,0,1508255382378896,0,26
5,0,1508255382378896,0,27
5,0,1508255382378896,0,28
5,0,1508255382378896,0,31
5,0,1508255382378896,0,32
5,0,1508255382378896,0,33
5,0,1508255382378896,0,37
5,0,1508255382378896,0,39
5,0,1508255382378896,0,41
5,0,1508255382378896,0,44
5,0,1508255382378896,0,45
5,0,1508255382378896,0,46
5,0,1508255382378896,0,53
5,0,1508255382378896,0,54
5,0,1508255382378896,0,55
5,0,1508255382378896,0,56
5,0,1508255382378896,0,57
5,0,1508255382378896,0,59
5,0,1508255382378896,0,60
5,0,1508255382378896,0,61
5,0,1508255382378896,0,63
5,0,1508255382378896,0,64
5,0,1508255382378896,0,65
5,0,1508255382378896,1,66
5,0,1508255382378896,1,67
5,0,1508255382378896,1,68
5,0,1508255382378896,1,69
5,0,1508255382378896,1,70
5,0,1508255382378896,1,71
5,0,1508255382378896,1,72
5,0,1508255382378896,1,73
5,0,1508255382378896,1,74
5,0,1508255382378896,1,75
5,0,1508255382378896,1,76
5,0,1508255382378896,1,77
5,0,1508255382378896,1,78
5,0,1508255382378896,1,79
5,0,1508255382378896,1,80
5,0,1508255382378896,2,38
5,0,1508255382378896,2,40
5,0,1508255382378896,2,42
5,0,1508255382378896,2,43
5,0,1508255382378896,3,47
5,0,1508255382378896,3,48
5,0,1508255382378896,3,49
5,0,1508255382378896,3,50
5,0,1508255382378896,3,51
5,0,1508255382378896,3,52
5,0,1508255382378896,3,58
5,0,1508255382378896,3,62
5,0,1508255382378896,4,9
5,0,1508255382378896,4,10
5,0,1508255382378896,4,11
5,0,1508255382378896,4,12
5,0,1508255382378896,4,13
5,0,1508255382378896,4,14
5,0,1508255382378896,4,20
5,0,1508255382378896,4,21
5,0,1508255382378896,4,22
5,0,1508255382378896,4,23
5,0,1508255382378896,4,24
5,0,1508255382378896,4,25
5,0,1508255382378896,4,29
5,0,1508255382378896,4,30
5,0,1508255382378896,4,34
5,0,1508255382378896,4,35
5,0,1508255382378896,4,36
6,0,13089972734451294,0,0
6,0,13089972734451294,0,1
6,0,13089972734451294,0,2
6,0,13089972734451294,0,3
6,0,13089972734451294,0,4
6,0,13089972734451294,0,5
6,0,13089972734451294,0,6
6,0,13089972734451294,0,7
6,0,13089972734451294,0,8
6,0,13089972734451294,0,15
6,0,13089972734451294,0,16
6,0,13089972734451294,0,17
6,0,13089972734451294,0,18
6,0,13089972734451294,0,19
6,0,13089972734451294,0,26
6,0,13089972734451294,0,27
6,0,13089972734451294,0,28
6,0,13089972734451294,0,31
6,0,13089972734451294,0,32
6,0,13089972734451294,0,33
6,0,13089972734451294,0,37
6,0,13089972734451294,0,39
6,0,13089972734451294,0,41
6,0,13089972734451294,0,44
6,0,13089972734451294,0,45
6,0,13089972734451294,0,46
6,0,13089972734451294,0,53
6,0,13089972734451294,0,54
6,0,13089972734451294,0,55
6,0,13089972734451294,0,56
6,0,13089972734451294,0,57
6,0,13089972734451294,0,59
6,0,13089972734451294,0,60
6,0,13089972734451294,0,61
6,0,13089972734451294,0,63
6,0,13089972734451294,0,64
6,0,13089972734451294,0,65
6,0,13089972734451294,1,9
6,0,13089972734451294,1,10
6,0,13089972734451294,1,11
6,0,13089972734451294,1,12
6,0,13089972734451294,1,13
6,0,13089972734451294,1,14
6,0,13089972734451294,1,20
6,0,13089972734451294,1,21
6,0,13089972734451294,1,22
6,0,13089972734451294,1,23
6,0,13089972734451294,1,24
6,0,13089972734451294,1,25
6,0,13089972734451294,2,29
6,0,13089972734451294,2,30
6,0,13089972734451294,2,34
6,0,13089972734451294,2,35
6,0,13089972734451294,2,36
6,0,13089972734451294,3,66
6,0,13089972734451294,3,67
6,0,13089972734451294,3,68
6,0,13089972734451294,3,69
6,0,13089972734451294,3,70
6,0,13089972734451294,3,71
6,0,13089972734451294,3,72
6,0,13089972734451294,3,73
6,0,13089972734451294,3,74
6,0,13089972734451294,3,75
6,0,13089972734451294,3,76
6,0,13089972734451294,3,77
6,0,13089972734451294,3,78
6,0,13089972734451294,3,79
6,0,13089972734451294,3,80
6,0,13089972734451294,4,38
6,0,13089972734451294,4,40
6,0,13089972734451294,4,42
6,0,13089972734451294,4,43
6,0,13089972734451294,5,47
6,0,13089972734451294,5,48
6,0,13089972734451294,5,49
6,0,13089972734451294,5,50
6,0,13089972734451294,5,51
6,0,13089972734451294,5,52
6,0,13089972734451294,5,58
6,0,13089972734451294,5,62
7,0,0872664600610733,0,47
7,0,0872664600610733,0,48
7,0,0872664600610733,0,49
7,0,0872664600610733,0,50
7,0,0872664600610733,1,0
7,0,0872664600610733,1,1
7,0,0872664600610733,1,2
7,0,0872664600610733,1,3
7,0,0872664600610733,1,4
7,0,0872664600610733,1,5
7,0,0872664600610733,1,6
7,0,0872664600610733,1,7
7,0,0872664600610733,1,8
7,0,0872664600610733,1,15
7,0,0872664600610733,1,16
7,0,0872664600610733,1,17
7,0,0872664600610733,1,18
7,0,0872664600610733,1,19
7,0,0872664600610733,1,26
7,0,0872664600610733,1,27
7,0,0872664600610733,1,28
7,0,0872664600610733,1,31
7,0,0872664600610733,1,32
7,0,0872664600610733,1,33
7,0,0872664600610733,1,37
7,0,0872664600610733,1,39
7,0,0872664600610733,1,41
7,0,0872664600610733,1,44
7,0,0872664600610733,1,45
7,0,0872664600610733,1,46
7,0,0872664600610733,1,53
7,0,0872664600610733,1,54
7,0,0872664600610733,1,55
7,0,0872664600610733,1,56
7,0,0872664600610733,1,57
7,0,0872664600610733,1,59
7,0,0872664600610733,1,60
7,0,0872664600610733,1,61
7,0,0872664600610733,1,63
7,0,0872664600610733,1,64
7,0,0872664600610733,1,65
7,0,0872664600610733,2,9
7,0,0872664600610733,2,10
7,0,0872664600610733,2,11
7,0,0872664600610733,2,12
7,0,0872664600610733,2,13
7,0,0872664600610733,2,14
7,0,0872664600610733,2,20
7,0,0872664600610733,2,21
7,0,0872664600610733,2,22
7,0,0872664600610733,2,23
7,0,0872664600610733,2,24
7,0,0872664600610733,2,25
7,0,0872664600610733,3,29
7,0,0872664600610733,3,30
7,0,0872664600610733,3,34
7,0,0872664600610733,3,35
7,0,0872664600610733,3,36
7,0,0872664600610733,4,66
7,0,0872664600610733,4,67
7,0,0872664600610733,4,68
7,0,0872664600610733,4,69
7,0,0872664600610733,4,70
7,0,0872664600610733,4,71
7,0,0872664600610733,4,72
7,0,0872664600610733,4,73
7,0,0872664600610733,4,74
7,0,0872664600610733,4,75
7,0,0872664600610733,4,76
7,0,0872664600610733,4,77
7,0,0872664600610733,4,78
7,0,0872664600610733,4,79
7,0,0872664600610733,4,80
7,0,0872664600610733,5,51
7,0,0872664600610733,5,52
7,0,0872664600610733,5,58
7,0,0872664600610733,5,62
7,0,0872664600610733,6,38
7,0,0872664600610733,6,40
7,0,0872664600610733,6,42
7,0,0872664600610733,6,43
8,0,08726644515991211,0,42
8,0,08726644515991211,0,43
8,0,08726644515991211,1,38
8,0,08726644515991211,1,40
8,0,08726644515991211,2,47
8,0,08726644515991211,2,48
8,0,08726644515991211,2,49
8,0,08726644515991211,2,50
8,0,08726644515991211,3,0
8,0,08726644515991211,3,1
8,0,08726644515991211,3,2
8,0,08726644515991211,3,3
8,0,08726644515991211,3,4
8,0,08726644515991211,3,5
8,0,08726644515991211,3,6
8,0,08726644515991211,3,7
8,0,08726644515991211,3,8
8,0,08726644515991211,3,15
8,0,08726644515991211,3,16
8,0,08726644515991211,3,17
8,0,08726644515991211,3,18
8,0,08726644515991211,3,19
8,0,08726644515991211,3,26
8,0,08726644515991211,3,27
8,0,08726644515991211,3,28
8,0,08726644515991211,3,31
8,0,08726644515991211,3,32
8,0,08726644515991211,3,33
8,0,08726644515991211,3,37
8,0,08726644515991211,3,39
8,0,08726644515991211,3,41
8,0,08726644515991211,3,44
8,0,08726644515991211,3,45
8,0,08726644515991211,3,46
8,0,08726644515991211,3,53
8,0,08726644515991211,3,54
8,0,08726644515991211,3,55
8,0,08726644515991211,3,56
8,0,08726644515991211,3,57
8,0,08726644515991211,3,59
8,0,08726644515991211,3,60
8,0,08726644515991211,3,61
8,0,08726644515991211,3,63
8,0,08726644515991211,3,64
8,0,08726644515991211,3,65
8,0,08726644515991211,4,9
8,0,08726644515991211,4,10
8,0,08726644515991211,4,11
8,0,08726644515991211,4,12
8,0,08726644515991211,4,13
8,0,08726644515991211,4,14
8,0,08726644515991211,4,20
8,0,08726644515991211,4,21
8,0,08726644515991211,4,22
8,0,08726644515991211,4,23
8,0,08726644515991211,4,24
8,0,08726644515991211,4,25
8,0,08726644515991211,5,29
8,0,08726644515991211,5,30
8,0,08726644515991211,5,34
8,0,08726644515991211,5,35
8,0,08726644515991211,5,36
8,0,08726644515991211,6,66
8,0,08726644515991211,6,67
8,0,08726644515991211,6,68
8,0,08726644515991211,6,69
8,0,08726644515991211,6,70
8,0,08726644515991211,6,71
8,0,08726644515991211,6,72
8,0,08726644515991211,6,73
8,0,08726644515991211,6,74
8,0,08726644515991211,6,75
8,0,08726644515991211,6,76
8,0,08726644515991211,6,77
8,0,08726644515991211,6,78
8,0,08726644515991211,6,79
8,0,08726644515991211,6,80
8,0,08726644515991211,7,51
8,0,08726644515991211,7,52
8,0,08726644515991211,7,58
8,0,08726644515991211,7,62
9,0,08387268914116754,0,58
9,0,08387268914116754,0,62
9,0,08387268914116754,1,51
9,0,08387268914116754,1,52
9,0,08387268914116754,2,42
9,0,08387268914116754,2,43
9,0,08387268914116754,3,38
9,0,08387268914116754,3,40
9,0,08387268914116754,4,47
9,0,08387268914116754,4,48
9,0,08387268914116754,4,49
9,0,08387268914116754,4,50
9,0,08387268914116754,5,0
9,0,08387268914116754,5,1
9,0,08387268914116754,5,2
9,0,08387268914116754,5,3
9,0,08387268914116754,5,4
9,0,08387268914116754,5,5
9,0,08387268914116754,5,6
9,0,08387268914116754,5,7
9,0,08387268914116754,5,8
9,0,08387268914116754,5,15
9,0,08387268914116754,5,16
9,0,08387268914116754,5,17
9,0,08387268914116754,5,18
9,0,08387268914116754,5,19
9,0,08387268914116754,5,26
9,0,08387268914116754,5,27
9,0,08387268914116754,5,28
9,0,08387268914116754,5,31
9,0,08387268914116754,5,32
9,0,08387268914116754,5,33
9,0,08387268914116754,5,37
9,0,08387268914116754,5,39
9,0,08387268914116754,5,41
9,0,08387268914116754,5,44
9,0,08387268914116754,5,45
9,0,08387268914116754,5,46
9,0,08387268914116754,5,53
9,0,08387268914116754,5,54
9,0,08387268914116754,5,55
9,0,08387268914116754,5,56
9,0,08387268914116754,5,57
9,0,08387268914116754,5,59
9,0,08387268914116754,5,60
9,0,08387268914116754,5,61
9,0,08387268914116754,5,63
9,0,08387268914116754,5,64
9,0,08387268914116754,5,65
9,0,08387268914116754,6,9
9,0,08387268914116754,6,10
9,0,08387268914116754,6,11
9,0,08387268914116754,6,12
9,0,08387268914116754,6,13
9,0,08387268914116754,6,14
9,0,08387268914116754,6,20
9,0,08387268914116754,6,21
9,0,08387268914116754,6,22
9,0,08387268914116754,6,23
9,0,08387268914116754,6,24
9,0,08387268914116754,6,25
9,0,08387268914116754,7,29
9,0,08387268914116754,7,30
9,0,08387268914116754,7,34
9,0,08387268914116754,7,35
9,0,08387268914116754,7,36
9,0,08387268914116754,8,66
9,0,08387268914116754,8,67
9,0,08387268914116754,8,68
9,0,08387268914116754,8,69
9,0,08387268914116754,8,70
9,0,08387268914116754,8,71
9,0,08387268914116754,8,72
9,0,08387268914116754,8,73
9,0,08387268914116754,8,74
9,0,08387268914116754,8,75
9,0,08387268914116754,8,76
9,0,08387268914116754,8,77
9,0,08387268914116754,8,78
9,0,08387268914116754,8,79
9,0,08387268914116754,8,80
10,0,08290313680966695,0,58
10,0,08290313680966695,0,62
10,0,08290313680966695,1,51
10,0,08290313680966695,1,52
10,0,08290313680966695,2,42
10,0,08290313680966695,2,43
10,0,08290313680966695,3,38
10,0,08290313680966695,3,40
10,0,08290313680966695,4,66
10,0,08290313680966695,4,68
10,0,08290313680966695,4,70
10,0,08290313680966695,4,74
10,0,08290313680966695,4,76
10,0,08290313680966695,4,80
10,0,08290313680966695,5,47
10,0,08290313680966695,5,48
10,0,08290313680966695,5,49
10,0,08290313680966695,5,50
10,0,08290313680966695,6,0
10,0,08290313680966695,6,1
10,0,08290313680966695,6,2
10,0,08290313680966695,6,3
10,0,08290313680966695,6,4
10,0,08290313680966695,6,5
10,0,08290313680966695,6,6
10,0,08290313680966695,6,7
10,0,08290313680966695,6,8
10,0,08290313680966695,6,15
10,0,08290313680966695,6,16
10,0,08290313680966695,6,17
10,0,08290313680966695,6,18
10,0,08290313680966695,6,19
10,0,08290313680966695,6,26
10,0,08290313680966695,6,27
10,0,08290313680966695,6,28
10,0,08290313680966695,6,31
10,0,08290313680966695,6,32
10,0,08290313680966695,6,33
10,0,08290313680966695,6,37
10,0,08290313680966695,6,39
10,0,08290313680966695,6,41
10,0,08290313680966695,6,44
10,0,08290313680966695,6,45
10,0,08290313680966695,6,46
10,0,08290313680966695,6,53
10,0,08290313680966695,6,54
10,0,08290313680966695,6,55
10,0,08290313680966695,6,56
10,0,08290313680966695,6,57
10,0,08290313680966695,6,59
10,0,08290313680966695,6,60
10,0,08290313680966695,6,61
10,0,08290313680966695,6,63
10,0,08290313680966695,6,64
10,0,08290313680966695,6,65
10,0,08290313680966695,7,9
10,0,08290313680966695,7,10
10,0,08290313680966695,7,11
10,0,08290313680966695,7,12
10,0,08290313680966695,7,13
10,0,08290313680966695,7,14
10,0,08290313680966695,7,20
10,0,08290313680966695,7,21
10,0,08290313680966695,7,22
10,0,08290313680966695,7,23
10,0,08290313680966695,7,24
10,0,08290313680966695,7,25
10,0,08290313680966695,8,67
10,0,08290313680966695,8,69
10,0,08290313680966695,8,71
10,0,08290313680966695,8,72
10,0,08290313680966695,8,73
10,0,08290313680966695,8,75
10,0,08290313680966695,8,77
10,0,08290313680966695,8,78
10,0,08290313680966695,8,79
10,0,08290313680966695,9,29
10,0,08290313680966695,9,30
10,0,08290313680966695,9,34
10,0,08290313680966695,9,35
10,0,08290313680966695,9,36
11,0,04072435696919759,0,58
11,0,04072435696919759,0,62
11,0,04072435696919759,1,51
11,0,04072435696919759,1,52
11,0,04072435696919759,2,29
11,0,04072435696919759,2,30
11,0,04072435696919759,3,42
11,0,04072435696919759,3,43
11,0,04072435696919759,4,38
11,0,04072435696919759,4,40
11,0,04072435696919759,5,34
11,0,04072435696919759,5,35
11,0,04072435696919759,5,36
11,0,04072435696919759,6,66
11,0,04072435696919759,6,68
11,0,04072435696919759,6,70
11,0,04072435696919759,6,74
11,0,04072435696919759,6,76
11,0,04072435696919759,6,80
11,0,04072435696919759,7,47
11,0,04072435696919759,7,48
11,0,04072435696919759,7,49
11,0,04072435696919759,7,50
11,0,04072435696919759,8,0
11,0,04072435696919759,8,1
11,0,04072435696919759,8,2
11,0,04072435696919759,8,3
11,0,04072435696919759,8,4
11,0,04072435696919759,8,5
11,0,04072435696919759,8,6
11,0,04072435696919759,8,7
11,0,04072435696919759,8,8
11,0,04072435696919759,8,15
11,0,04072435696919759,8,16
11,0,04072435696919759,8,17
11,0,04072435696919759,8,18
11,0,04072435696919759,8,19
11,0,04072435696919759,8,26
11,0,04072435696919759,8,27
11,0,04072435696919759,8,28
11,0,04072435696919759,8,31
11,0,04072435696919759,8,32
11,0,04072435696919759,8,33
11,0,04072435696919759,8,37
11,0,04072435696919759,8,39
11,0,04072435696919759,8,41
11,0,04072435696919759,8,44
11,0,04072435696919759,8,45
11,0,04072435696919759,8,46
11,0,04072435696919759,8,53
11,0,04072435696919759,8,54
11,0,04072435696919759,8,55
11,0,04072435696919759,8,56
11,0,04072435696919759,8,57
11,0,04072435696919759,8,59
11,0,04072435696919759,8,60
11,0,04072435696919759,8,61
11,0,04072435696919759,8,63
11,0,04072435696919759,8,64
11,0,04072435696919759,8,65
11,0,04072435696919759,9,9
11,0,04072435696919759,9,10
11,0,04072435696919759,9,11
11,0,04072435696919759,9,12
11,0,04072435696919759,9,13
11,0,04072435696919759,9,14
11,0,04072435696919759,9,20
11,0,04072435696919759,9,21
11,0,04072435696919759,9,22
11,0,04072435696919759,9,23
11,0,04072435696919759,9,24
11,0,04072435696919759,9,25
11,0,04072435696919759,10,67
11,0,04072435696919759,10,69
11,0,04072435696919759,10,71
11,0,04072435696919759,10,72
11,0,04072435696919759,10,73
11,0,04072435696919759,10,75
11,0,04072435696919759,10,77
11,0,04072435696919759,10,78
11,0,04072435696919759,10,79
12,0,03393695751825968,0,58
12,0,03393695751825968,0,62
12,0,03393695751825968,1,51
12,0,03393695751825968,1,52
12,0,03393695751825968,2,29
12,0,03393695751825968,2,30
12,0,03393695751825968,3,42
12,0,03393695751825968,3,43
12,0,03393695751825968,4,38
12,0,03393695751825968,4,40
12,0,03393695751825968,5,67
12,0,03393695751825968,5,69
12,0,03393695751825968,5,71
12,0,03393695751825968,6,34
12,0,03393695751825968,6,35
12,0,03393695751825968,6,36
12,0,03393695751825968,7,66
12,0,03393695751825968,7,68
12,0,03393695751825968,7,70
12,0,03393695751825968,7,74
12,0,03393695751825968,7,76
12,0,03393695751825968,7,80
12,0,03393695751825968,8,72
12,0,03393695751825968,8,73
12,0,03393695751825968,8,75
12,0,03393695751825968,8,77
12,0,03393695751825968,8,78
12,0,03393695751825968,8,79
12,0,03393695751825968,9,47
12,0,03393695751825968,9,48
12,0,03393695751825968,9,49
12,0,03393695751825968,9,50
12,0,03393695751825968,10,0
12,0,03393695751825968,10,1
12,0,03393695751825968,10,2
12,0,03393695751825968,10,3
12,0,03393695751825968,10,4
